plate_no
73로 5998
32무 9709
81수 0309
95하 8391
43두 5865
99버 4080
53허 7089
96러 6113
95나 0414
71수 1688
27호 0141
78어 4644
90보 4812
26허 4579
32너 4406
69서 3693
35수 0501
26조 0733
46우 8578
39하 1449
97버 1352
49루 4644
89머 2311
53소 0350
45오 1135
95도 8449
62소 2683
96버 2070
70너 1280
75모 2927
66주 1762
22소 7011
20주 4712
44소 1450
78오 2309
16고 5723
07어 6906
70조 1593
71부 2474
67고 2715
14두 6784
01버 2967
87보 0664
79소 0733
87버 7382
04머 2601
56머 2910
64루 6516
87우 7405
41나 9998
04머 8710
18주 0689
84수 0158
46소 7750
95보 3843
95노 1800
39보 7152
98로 0770
65오 4137
45두 6708
07무 0880
05구 3585
73두 2526
56너 7854
49가 9921
30우 5167
79주 6999
89보 6844
30부 4397
94어 6542
78오 3904
44허 0509
33러 6790
46서 8795
37보 6839
08수 2359
30보 7376
79저 5101
51조 2859
93무 0215
66허 1200
67러 7842
61저 3901
49서 2755
44다 1092
72보 7323
78가 1157
23무 3714
78라 4185
64러 4983
69도 7492
39고 7744
80저 3162
53소 6756
78조 7825
72로 7076
60라 8861
51우 1010
00서 6041
68로 8004
94어 1940
87우 5696
76거 2790
05어 7786
47러 7990
10호 2085
51우 4506
01두 0180
94하 7585
25노 5568
36모 8194
70거 4530
67고 3513
29노 9851
98보 9221
14도 6093
20노 6610
08저 5052
77다 9210
99서 2706
43러 3972
78라 3123
61수 1969
64나 7819
81허 2134
77너 5454
61구 2762
06구 2038
97서 8117
45하 7113
23부 4929
94너 6008
75누 0045
24버 5895
87라 6702
93루 4628
19다 7816
77부 1718
81너 2360
86조 4723
04저 8014
64루 8567
58우 0316
04주 6460
71수 3401
20부 1296
96우 6350
31라 9762
27러 3951
32모 1897
58무 4164
22우 6779
49수 8401
29오 5848
12머 6818
33머 1256
38도 9407
65오 8945
99두 5925
34서 4781
29라 7810
72도 2332
04누 4545
85머 0842
75보 8354
11소 9685
87소 9230
35두 4561
75누 2552
44하 8059
97어 4593
92호 0528
25서 9424
30노 5643
42하 8400
07더 6011
21부 8581
67저 3308
77하 7716
53더 4247
64어 9792
00버 5011
30호 6337
92조 3297
59호 7640
11거 4329
95나 5250
66버 1306
54버 7020
44서 6602
62더 3605
00다 2081
81오 9055
10모 0299
35고 4924
44부 7464
34누 5689
50저 6543
45가 7570
75부 7039
83부 5268
30어 3662
58가 9518
05수 6604
25누 7210
76가 0571
76라 6892
04루 5510
77허 5582
63조 3486
39다 4181
94두 9065
64나 9168
15다 5689
94라 5396
03도 5769
79다 9613
86마 2007
29더 4232
13주 6346
95주 7827
72가 8058
65노 2630
12노 9722
57루 4174
48보 9773
54허 4876
70조 7200
25누 3238
74하 1929
49조 7080
72보 2858
56누 5491
82두 1965
33더 0526
90호 6468
61하 2191
14보 8562
09주 2169
77주 8650
70도 1909
55노 0327
36나 5382
41우 1641
92노 6796
65더 6464
31로 2083
96로 3810
97조 5279
94마 7189
88우 7399
57다 0593
88너 4871
37도 4429
85서 8884
91허 2454
06거 9228
86러 5752
78가 1543
88서 5983
62라 6538
58두 1169
70무 6488
36다 5295
25저 7216
85수 3678
22오 3464
50조 3137
51오 0898
97루 6185
92어 5178
94하 4717
37허 4304
17수 2036
28노 8431
48노 7327
93러 0454
62주 8626
59무 5445
67조 9093
12로 2068
06수 4447
20나 7967
68거 0805
17하 4082
15모 8540
47모 5633
05오 6051
13라 7954
60호 4199
27우 9755
91다 8702
07구 7571
22도 8521
53호 6911
36고 4187
57가 3003
84주 8433
70너 6153
10하 2992
50모 2674
18머 7601
48러 0340
13머 4126
27소 8948
11러 4251
54조 8940
72나 8596
82노 5750
38라 0106
86두 2761
87러 9619
00주 4250
16너 7239
58로 3818
97저 1199
88오 3476
17마 1021
43도 7650
27소 4355
13우 5409
81머 4307
80노 9203
22다 4672
09더 2713
48구 0047
83라 3053
38무 8569
29두 9387
25보 8751
38어 0754
94다 7448
34주 4173
73고 7209
31너 7963
25소 6242
52어 9595
18러 0154
05로 2764
97무 1175
27가 9382
45노 4172
53구 5290
22부 5332
27라 2409
44무 4509
70로 1374
05저 3919
79버 2154
15수 6347
63서 1778
55두 3896
03우 3092
58조 5031
74두 3613
98오 8738
60구 2413
46우 2205
26수 1148
40가 2323
14우 2991
55마 7391
